Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,New York,New York,United States of America,2013-07-01,0001308161,,35.95,31.5,37.14,22.67,26.9
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,New York,New York,United States of America,2015-09-18,0001308161,,36.3,31.47,36.24,21.85,26.79
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,San Mateo,California,United States of America,,0000038777,1947,33.85,28.12,25.21,16.06,20.44
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,Phoenix,Arizona,United States of America,,0000831259,1912,11.23,9.46,13.3,6.35,11.04
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,San Francisco,California,United States of America,1986-08-31,0000039911,,16.86,16.29,16.82,6.29,12.51
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,Schaffhausen,Schaffhausen,Switzerland,2012-12-12,0001121788,,78.25,83.47,96.21,71.51,96.15
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,Stamford,Connecticut,United States of America,2017-04-05,0000749251,,162.79,143.22,154.48,95.52,119.26
GD,General Dynamics,reports,Industrials,Aerospace & Defense,Falls Church,Virginia,United States of America,,0000040533,1899,177.45,178.94,173.72,124.75,148.24
GE,General Electric,reports,Industrials,Industrial Conglomerates,Boston,Massachusetts,United States of America,,0000040545,1892,10.57,8.93,11.2,7.51,6.8
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,Golden Valley,Minnesota,United States of America,1969-03-31,0000040704,1856,50.61,53.24,52.26,50.89,60.27
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,Detroit,Michigan,United States of America,2013-06-06,0001467858,,37.67,36.63,36.55,19.5,25.3
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,Atlanta,Georgia,United States of America,1973-12-31,0000040987,1925,100.92,97.28,104.72,63.04,87.02
GILD,Gilead Sciences,reports,Health Care,Biotechnology,Foster City,California,United States of America,2004-07-01,0000882095,,65.55,61.88,64.35,73.66,74.56
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,McKinney,Texas,United States of America,1989-04-30,0000320335,,89.1,95.4,104.76,67.7,72.16
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,Atlanta,Georgia,United States of America,2016-04-25,0001123360,,162.01,158.79,183.55,135.84,166.57
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,New York,New York,United States of America,2002-07-22,0000886982,,203.03,203.33,228.17,145.19,193.47
